video,focal_subject,behavior,type,start_time,end_time,duration,notes
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,311.842,311.842,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,311.858,311.858,NA,
Pair 5- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,311.891,311.891,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,311.928,311.928,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.006,312.006,NA,
Pair 11- Intro (ED),Male,Autogrooming,STATE,312.008,313.508,1.5,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.008,312.008,NA,
Pair 13- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.011,312.011,NA,
Pair 1- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.022,312.022,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.025,312.025,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.06,312.06,NA,
Pair 16- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.091,312.091,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.125,312.125,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.128,312.128,NA,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.16,312.16,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.176,312.176,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.181,312.181,NA,
Pair 23- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.193,312.193,NA,
Pair 17- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.225,312.225,NA,
Pair 21- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.24,312.24,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.254,312.254,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.259,312.259,NA,
Pair 9- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.29,312.29,NA,
Pair 18- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.324,312.324,NA,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.377,312.377,NA,
Pair 1- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.417,312.417,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.426,312.426,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,312.507,312.507,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.507,312.507,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.511,312.511,NA,
Pair 16- 1 week (ED) (2),No focal subject,Stereotypic Behaviors,POINT,312.539,312.539,NA,
Pair 16- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.542,312.542,NA,
Pair 12- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.561,312.561,NA,burrowing behavior
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.578,312.578,NA,
Pair 14- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.591,312.591,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.606,312.606,NA,
Pair 10- Intro (ED),No focal subject,Social Grooming,STATE,312.623,322.123,9.5,
Pair 11- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.624,312.624,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.624,312.624,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.642,312.642,NA,
Pair 10- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.643,312.643,NA,
Pair 23- 1 week (ED),Female,Autogrooming,STATE,312.655,324.705,12.05,
Pair 5- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.727,312.727,NA,
Pair 22- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.758,312.758,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.761,312.761,NA,
Pair 22- 24 Hrs (ED),No focal subject,Contact time,STATE,312.807,316.307,3.5,
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.841,312.841,NA,
Pair 13- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,312.859,312.859,NA,
Pair 22- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.891,312.891,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.923,312.923,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.929,312.929,NA,
Pair 14- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.943,312.943,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,312.956,312.956,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,312.993,312.993,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.008,313.008,NA,
Pair 23- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.009,313.009,NA,
Pair 1- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.024,313.024,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.042,313.042,NA,
Pair 1- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.05,313.05,NA,
Pair 17- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.059,313.059,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.076,313.076,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.126,313.126,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.142,313.142,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.16,313.16,NA,
Pair 22- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.16,313.16,NA,
Pair 4- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.226,313.226,NA,
Pair 21- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.24,313.24,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.242,313.242,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.256,313.256,NA,
Pair 16- Intro (ED),No focal subject,Nose to Nose Investigation,STATE,313.291,314.79,1.499,
Pair 17- 24 Hrs (ED),No focal subject,Contact time,STATE,313.309,315.558,2.249,
Pair 18- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.323,313.323,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.324,313.324,NA,
Pair 15- 24 Hrs (ED),No focal subject,Contact time,STATE,313.391,314.64,1.249,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.41,313.41,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.423,313.423,NA,
Pair 1- Intro (ED),No focal subject,Half passes,POINT,313.425,313.425,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.526,313.526,NA,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.566,313.566,NA,
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.591,313.591,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.643,313.643,NA,
Pair 10- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.644,313.644,NA,
Pair 6- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.655,313.655,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.692,313.692,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.762,313.762,NA,
Pair 1- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.772,313.772,NA,
Pair 22- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.774,313.774,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.791,313.791,NA,
Pair 16- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.859,313.859,NA,
Pair 9- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,313.876,313.876,NA,
Pair 22- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,313.91,313.91,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.927,313.927,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.99,313.99,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,313.992,313.992,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.007,314.007,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.028,314.028,NA,
Pair 1- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.033,314.033,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.041,314.041,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.043,314.043,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.074,314.074,NA,
Pair 22- 48 Hrs (ED),Female,Autogrooming,STATE,314.089,318.589,4.5,
Pair 6- Intro (ED),No focal subject,Contact time,STATE,314.11,319.61,5.5,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.128,314.128,NA,
Pair 22- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.142,314.142,NA,burrowing behavior
Pair 9- Intro (ED),No focal subject,Nose-to- Anogenital Investigation,STATE,314.142,318.292,4.15,
Pair 9- Intro (ED),No focal subject,Contact time,STATE,314.142,318.542,4.4,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.157,314.157,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.159,314.159,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.173,314.173,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.175,314.175,NA,
Pair 13- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.193,314.193,NA,
Pair 14- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.194,314.194,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.207,314.207,NA,
Pair 11- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.226,314.226,NA,
Pair 5- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.227,314.227,NA,
Pair 21- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,314.24,314.24,NA,
Pair 11- 48 Hrs (ED),No focal subject,Contact time,STATE,314.241,318.491,4.25,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.242,314.242,NA,
Pair 18- 1 week (ED),No focal subject,Contact time,STATE,314.274,315.273,0.999,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.291,314.291,NA,
Pair 17- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.307,314.307,NA,
Pair 12- 48 Hrs (ED),No focal subject,Contact time,STATE,314.325,316.005,1.68,
Pair 12- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.325,314.325,NA,
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,314.341,314.341,NA,
Pair 11- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.344,314.344,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,314.373,314.373,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.391,314.391,NA,
Pair 13- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.44,314.44,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.456,314.456,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.492,314.492,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.509,314.509,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Contact time,STATE,314.522,316.523,2.001,
Pair 1- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.524,314.524,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.538,314.538,NA,
Pair 9- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.539,314.539,NA,
Pair 13- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.576,314.576,NA,
Pair 5- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,314.643,314.643,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.656,314.656,NA,
Pair 6- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.658,314.658,NA,
Pair 9- 48 Hrs (ED),No focal subject,Contact time,STATE,314.739,315.743,1.004,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.775,314.775,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.828,314.828,NA,
Pair 16- 48 Hrs (ED),No focal subject,Contact time,STATE,314.841,323.591,8.75,
Pair 9- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.875,314.875,NA,
Pair 10- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.891,314.891,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.907,314.907,NA,
Pair 1- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,314.917,314.917,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.923,314.923,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.93,314.93,NA,
Pair 12- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,314.96,314.96,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,314.992,314.992,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.007,315.007,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.042,315.042,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.057,315.057,NA,
Pair 24- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.065,315.065,NA,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.071,315.071,NA,
Pair 18- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.076,315.076,NA,
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.089,315.089,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.108,315.108,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.16,315.16,NA,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.16,315.16,NA,
Pair 8- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.163,315.163,NA,
Pair 23- 48 Hrs (ED),Female,Autogrooming,STATE,315.194,317.193,1.999,
Pair 21- Intro (ED),No focal subject,Contact time,STATE,315.241,316.49,1.249,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.258,315.258,NA,
Pair 21- 24 Hrs (ED),No focal subject,Social Grooming,STATE,315.272,322.024,6.752,
Pair 1- 48 Hrs (ED),No focal subject,Nose to Nose Investigation,STATE,315.276,315.776,0.5,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.29,315.29,NA,
Pair 11- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.343,315.343,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.405,315.405,NA,
Pair 22- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.41,315.41,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.422,315.422,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.46,315.46,NA,
Pair 5- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.476,315.476,NA,
Pair 4- 1 week (ED),No focal subject,Freezing behavior,POINT,315.506,315.506,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.507,315.507,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.508,315.508,NA,
Pair 14- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.592,315.592,NA,
Pair 11- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.625,315.625,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.673,315.673,NA,
Pair 6- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.69,315.69,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.792,315.792,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.793,315.793,NA,
Pair 18- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.824,315.824,NA,
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.84,315.84,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.879,315.879,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.89,315.89,NA,
Pair 22- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,315.892,315.892,NA,
Pair 20- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.909,315.909,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.923,315.923,NA,
Pair 6- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.927,315.927,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,315.928,315.928,NA,
Pair 4- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,315.974,315.974,NA,
Pair 23- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.007,316.007,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.011,316.011,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.06,316.06,NA,
Pair 18- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.073,316.073,NA,
Pair 12- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.076,316.076,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.078,316.078,NA,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.127,316.127,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.158,316.158,NA,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.159,316.159,NA,
Pair 1- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.183,316.183,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.244,316.244,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.257,316.257,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.258,316.258,NA,
Pair 22- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.258,316.258,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,316.272,316.272,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.29,316.29,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.306,316.306,NA,
Pair 12- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.31,316.31,NA,burrowing behavior
Pair 11- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.375,316.375,NA,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.391,316.391,NA,
Pair 6- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.405,316.405,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.41,316.41,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.445,316.445,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.456,316.456,NA,
Pair 16- Intro (ED),No focal subject,Contact time,STATE,316.54,319.039,2.499,
Pair 17- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.558,316.558,NA,
Pair 13- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.574,316.574,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.578,316.578,NA,
Pair 8- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.59,316.59,NA,
Pair 11- 1 week (ED),No focal subject,Contact time,STATE,316.593,318.093,1.5,
Pair 21- 48 Hrs (ED),No focal subject,Contact time,STATE,316.623,318.123,1.5,
Pair 15- 24 Hrs (ED),No focal subject,Contact time,STATE,316.639,317.639,1,
Pair 20- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.659,316.659,NA,
Pair 9- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.659,316.659,NA,
Pair 6- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.68,316.68,NA,
Pair 14- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.694,316.694,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.793,316.793,NA,
Pair 22- 48 Hrs (ED),No focal subject,Contact time,STATE,316.804,319.124,2.32,
Pair 13- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.855,316.855,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.875,316.875,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.91,316.91,NA,
Pair 22- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,316.91,316.91,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.927,316.927,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,316.96,316.96,NA,
Pair 17- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.974,316.974,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,316.993,316.993,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.009,317.009,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.056,317.056,NA,
Pair 1- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.067,317.067,NA,
Pair 18- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.076,317.076,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.156,317.156,NA,
Pair 21- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.242,317.242,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.242,317.242,NA,
Pair 16- 1 week (ED) (2),No focal subject,Stereotypic Behaviors,POINT,317.289,317.289,NA,
Pair 16- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.29,317.29,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.29,317.29,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.291,317.291,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.324,317.324,NA,
Pair 11- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.373,317.373,NA,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.409,317.409,NA,
Pair 4- 24 Hrs (ED),Female,Autogrooming,STATE,317.456,319.456,2,
Pair 3- 1 week (ED),No focal subject,Contact time,STATE,317.458,317.958,0.5,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.476,317.476,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.508,317.508,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.509,317.509,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.538,317.538,NA,
Pair 22- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.642,317.642,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.655,317.655,NA,
Pair 6- 48 Hrs (ED),No focal subject,Contact time,STATE,317.657,319.155,1.498,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.674,317.674,NA,
Pair 6- 24 Hrs (ED),No focal subject,Contact time,STATE,317.678,320.931,3.253,
Pair 6- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.678,317.678,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.693,317.693,NA,
Pair 12- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.709,317.709,NA,
Pair 5- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.726,317.726,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.742,317.742,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.756,317.756,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,317.774,317.774,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.776,317.776,NA,
Pair 16- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.79,317.79,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.791,317.791,NA,
Pair 17- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.809,317.809,NA,
Pair 13- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.856,317.856,NA,
Pair 16- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.859,317.859,NA,
Pair 9- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.874,317.874,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.876,317.876,NA,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,317.877,317.877,NA,
Pair 5- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.89,317.89,NA,
Pair 8- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,317.913,317.913,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.925,317.925,NA,
Pair 17- Intro (ED),No focal subject,Contact time,STATE,317.938,320.69,2.752,
Pair 12- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,317.956,317.956,NA,
